date,time,temperature_°F,dew_point_°F,humidity_%,wind_dir,wind_speed_mph,wind_gust_mph,pressure_inHg,precip_rate_in/hr,precip_accum_in,uv_index,solar_w/m²
2024-10-01,00:04:00,56.2,51.3,84.0,,4.4,10.9,29.75,0.0,0.19,0.0,0.0
2024-10-01,00:09:00,56.3,51.3,83.0,NNW,2.5,11.3,29.75,0.0,0.19,0.0,0.0
2024-10-01,00:14:00,56.3,51.3,83.0,NNW,4.1,11.7,29.75,0.0,0.19,0.0,0.0
2024-10-01,00:19:00,56.4,51.3,83.0,,3.1,11.8,29.75,0.0,0.19,0.0,0.0
2024-10-01,00:24:00,56.5,51.2,82.0,NNW,2.5,8.5,29.75,0.0,0.19,0.0,0.0
2024-10-01,00:29:00,56.6,51.2,82.0,NW,3.2,8.8,29.75,0.0,0.19,0.0,0.0
2024-10-01,00:34:00,56.7,51.3,82.0,North,4.0,9.7,29.75,0.0,0.19,0.0,0.0
2024-10-01,00:39:00,56.6,51.5,83.0,NW,1.9,7.7,29.75,0.0,0.19,0.0,0.0
2024-10-01,00:44:00,56.5,51.4,83.0,NNW,3.0,9.5,29.75,0.0,0.19,0.0,0.0
2024-10-01,00:49:00,56.5,51.4,83.0,,3.1,8.3,29.75,0.0,0.19,0.0,0.0
2024-10-01,00:54:00,56.5,51.2,82.0,NNW,3.7,9.9,29.75,0.0,0.19,0.0,0.0
2024-10-01,00:59:00,56.5,51.1,82.0,NW,4.3,11.7,29.75,0.0,0.19,0.0,0.0
2024-10-01,01:04:00,56.6,51.1,82.0,NNW,2.2,7.5,29.75,0.0,0.19,0.0,0.0
2024-10-01,01:09:00,56.6,50.8,81.0,,3.6,9.5,29.75,0.0,0.19,0.0,0.0
2024-10-01,01:14:00,56.7,50.9,81.0,North,2.5,8.3,29.75,0.0,0.19,0.0,0.0
2024-10-01,01:19:00,56.6,50.6,80.0,WNW,3.5,14.5,29.75,0.0,0.19,0.0,0.0
2024-10-01,01:24:00,56.5,50.7,81.0,,3.9,9.9,29.75,0.0,0.19,0.0,0.0
2024-10-01,01:29:00,56.4,50.6,81.0,NNW,3.7,9.3,29.75,0.0,0.19,0.0,0.0
2024-10-01,01:34:00,56.2,50.2,80.0,NNW,4.6,9.7,29.75,0.0,0.19,0.0,0.0
2024-10-01,01:39:00,56.1,49.8,80.0,NNW,3.4,8.1,29.75,0.0,0.19,0.0,0.0
2024-10-01,01:44:00,56.1,49.6,79.0,NW,4.3,8.4,29.75,0.0,0.19,0.0,0.0
2024-10-01,01:49:00,56.1,49.5,78.0,WNW,6.3,13.3,29.75,0.0,0.19,0.0,0.0
2024-10-01,01:54:00,56.1,49.5,78.0,West,4.9,11.6,29.75,0.0,0.19,0.0,0.0
2024-10-01,01:59:00,55.9,49.3,78.0,NNW,4.7,12.3,29.75,0.0,0.19,0.0,0.0
2024-10-01,02:04:00,55.9,49.3,78.0,NNW,4.9,12.9,29.75,0.0,0.19,0.0,0.0
2024-10-01,02:09:00,55.8,49.1,78.0,WSW,4.2,13.7,29.76,0.0,0.19,0.0,0.0
2024-10-01,02:14:00,55.8,49.1,78.0,NNW,4.1,11.2,29.76,0.0,0.19,0.0,0.0
2024-10-01,02:19:00,55.6,49.0,79.0,North,2.4,9.5,29.76,0.0,0.19,0.0,0.0
